#Title: The Distribution of Thermal Pressures in the Diffuse, Cold Neutral
#       Medium of our Galaxy. II. An Expanded Survey of Interstellar C I
#       Fine-Structure Excitations
#Authors: Jenkins E.B., Tripp T.M.
#Table: Observed and Calculated Quantities in Specific Velocity Channels
#================================================================================
#Byte-by-byte Description of file: apj390295t4_mrt.txt
#--------------------------------------------------------------------------------
#   Bytes Format Units    Label     Explanations
#--------------------------------------------------------------------------------
#   1- 11 A11    ---      Name      Target star name
#  13- 17 F5.1   km/s     RVel      Radial Velocity
#  19- 24 F6.3   ---      f1        f1
#  26- 30 F5.3   ---    e_f1        The 1{sigma} error in f1
#  32- 37 F6.3   ---      f2        f2
#  39- 43 F5.3   ---    e_f2        The 1{sigma} error in f2
#  45- 53 E9.2   cm-2     N(CIt)    Column density of C I in all 3 levels
#  55- 63 E9.2   cm-2     N(CII)    ? Inferred column density of C II
#  65- 69 F5.3   ---      g(low)    ? Fraction of C I at low pressure
#  71- 74 F4.2   [cm-3.K] log(p/k)  ? log(p/k) of the low pressure
#                                    fraction
#  76- 80 F5.2   [-]      log(I/I0) ? Log starlight intensity relative
#                                    to standard
Name,Vel,f1,e_f1,f2,e_f2,N(CIt),N(CII),g(low),log(p/k),log(I/I0)
HD106343,12.5,0.267,0.011,0.064,0.010,1.00e+013,7.30e+015,0.975,3.82,0.54
HD106343,13.0,0.299,0.015,0.065,0.013,7.56e+012,3.97e+015,1.000,3.93,0.53
HD106343,13.5,0.319,0.019,0.058,0.018,5.65e+012,6.03e+015,1.000,3.97,0.78
HD106343,14.0,0.315,0.025,0.075,0.023,4.27e+012,1.11e+016,0.991,3.90,1.03
HD106343,14.5,0.312,0.024,0.126,0.022,4.38e+012,3.97e+015,0.864,3.92,0.74
HD106343,15.0,0.356,0.016,0.168,0.015,6.43e+012,3.97e+015,0.804,4.07,0.77
HD106343,15.5,0.395,0.012,0.180,0.011,8.63e+012,2.16e+015,0.830,4.24,0.64
HD106343,16.0,0.425,0.013,0.191,0.012,7.64e+012,2.13e+015,0.862,4.37,0.78
HD106343,16.5,0.428,0.021,0.213,0.019,4.70e+012,1.85e+015,0.822,4.40,0.93
HD108,-26.0,0.209,0.022,0.020,0.028,1.21e+013,1.42e+016,1.000,3.67,0.56
HD108,-25.5,0.191,0.019,0.029,0.023,1.47e+013,1.85e+016,1.000,3.59,0.53
HD108,-25.0,0.196,0.015,0.035,0.017,1.98e+013,2.23e+016,0.999,3.60,0.50
HD108,-24.5,0.227,0.015,0.048,0.015,2.26e+013,1.81e+016,0.991,3.71,0.48
HD108,-24.0,0.227,0.015,0.050,0.014,2.35e+013,2.26e+016,0.986,3.70,0.53
HD108,-23.5,0.218,0.017,0.043,0.016,2.05e+013,2.20e+016,0.994,3.67,0.54
HD108,-23.0,0.253,0.026,0.045,0.025,1.35e+013,1.89e+016,1.000,3.77,0.71
HD108,-22.5,0.207,0.026,0.063,0.028,1.21e+013,2.45e+016,0.941,3.56,0.70
HD108,-22.0,0.162,0.025,0.080,0.028,1.17e+013,1.76e+016,0.880,3.34,0.46
HD108,-21.0,0.148,0.022,0.026,0.026,1.29e+013,2.84e+016,0.995,3.38,0.59
HD108,-20.5,0.165,0.025,0.036,0.028,1.22e+013,2.31e+016,0.984,3.45,0.59
HD108,-20.0,0.169,0.023,0.039,0.025,1.36e+013,1.84e+016,0.974,3.48,0.49
HD108,-19.5,0.135,0.016,0.027,0.017,1.95e+013,2.37e+016,0.986,3.36,0.35
